Datametrics file based on GRID COVERAGE
Epoch [JDUT1] is 2458849.5
Step size [s] is 10.0
Mission Duration [Days] is 0.5
time index,GP index,pnt-opt index,lat [deg],lon [deg],observation range [km],look angle [deg],incidence angle [deg],solar zenith [deg]
28,3700,,16.223,-94.627,634.0,4.07,4.48,nan
28,3922,,16.445,-95.399,646.1,11.32,12.46,nan
28,4231,,15.873,-93.665,636.9,-6.58,7.24,nan
30,300,,16.401,-92.779,649.5,-12.46,13.72,nan
30,602,,17.177,-93.599,633.8,-3.18,3.5,nan
30,1274,,18.0,-96.266,694.0,23.07,25.52,nan
31,2300,,18.414,-95.118,659.3,15.49,17.08,nan
32,3965,,17.801,-92.026,654.3,-13.89,15.31,nan
33,3832,,18.076,-92.231,647.7,-11.49,12.65,nan
50,883,,29.248,-90.68,670.8,16.86,18.61,nan
51,449,,29.575,-90.159,661.0,13.99,15.43,nan
51,2640,,29.936,-91.553,711.6,24.73,27.41,nan
51,2963,,29.825,-91.107,692.5,21.48,23.75,nan
51,3121,,29.341,-90.637,670.0,16.57,18.28,nan
51,4029,,29.734,-91.175,693.2,21.61,23.9,nan
51,4241,,29.279,-89.366,644.6,6.99,7.69,nan
51,4537,,29.324,-90.622,669.4,16.41,18.11,nan
51,4630,,29.481,-89.981,655.9,12.29,13.55,nan
52,108,,30.178,-89.74,659.1,13.24,14.59,nan
52,753,,30.285,-90.403,677.0,18.16,20.06,nan
52,2676,,29.645,-89.759,653.3,11.15,12.28,nan
56,1896,,32.399,-90.064,701.7,22.74,25.18,nan
56,2018,,30.708,-84.866,695.5,-21.63,23.93,nan
58,1350,,31.628,-85.065,675.0,-17.04,18.81,nan
59,1284,,32.682,-85.91,648.0,-6.94,7.64,nan
59,1880,,32.925,-85.193,655.7,-10.88,12.0,nan
59,3024,,33.425,-86.334,643.4,-2.55,2.81,nan
60,2655,,33.944,-87.106,649.9,7.86,8.66,nan
61,1052,,34.422,-86.392,645.8,4.49,4.95,nan
61,1121,,35.069,-88.247,689.1,19.9,22.01,nan
61,1129,,34.806,-87.38,662.7,13.11,14.46,nan
61,2369,,33.353,-83.157,703.8,-22.67,25.1,nan
61,2901,,34.798,-87.623,668.1,14.81,16.35,nan
61,3798,,34.174,-85.753,643.9,-1.46,1.6,nan
61,4432,,33.141,-83.202,706.5,-23.14,25.64,nan
61,4508,,34.205,-85.617,644.1,-2.2,2.42,nan
62,1287,,34.161,-84.072,664.3,-13.49,14.88,nan
62,4311,,35.002,-85.618,644.4,1.78,1.96,nan
62,4658,,34.165,-84.726,653.6,-9.34,10.29,nan
63,934,,34.36,-82.823,694.9,-20.86,23.08,nan
63,1551,,35.102,-85.227,645.3,-2.67,2.94,nan
63,1744,,34.027,-82.602,710.0,-23.54,26.09,nan
63,2876,,36.292,-86.659,667.2,14.25,15.73,nan
63,3218,,36.155,-86.618,664.1,13.26,14.63,nan
64,1426,,35.624,-84.78,646.0,-3.05,3.35,nan
64,1708,,35.79,-84.24,648.3,-5.5,6.06,nan
64,2808,,36.097,-85.826,651.1,7.48,8.24,nan
64,2868,,34.8,-82.889,685.7,-18.85,20.84,nan
64,4584,,36.293,-85.945,653.9,8.98,9.9,nan
65,1101,,36.868,-85.144,649.5,6.02,6.63,nan
65,1887,,36.538,-85.45,650.7,6.89,7.59,nan
65,1914,,36.227,-84.093,647.7,-4.49,4.95,nan
65,2333,,36.164,-83.498,654.4,-9.02,9.94,nan
65,2574,,35.963,-83.534,655.6,-9.57,10.55,nan
68,4203,,39.008,-86.5,708.8,22.9,25.38,nan
71,3413,,40.531,-84.573,682.0,17.13,18.94,nan
75,139,,42.348,-82.943,675.6,14.85,16.4,nan
75,3061,,41.502,-80.46,653.1,-4.73,5.22,nan
76,1,,42.999,-82.423,674.7,14.44,15.95,nan
76,4072,,41.839,-79.001,668.0,-12.26,13.53,nan
77,3191,,42.094,-79.244,662.4,-9.79,10.8,nan
78,6,,42.904,-78.908,658.6,-7.56,8.34,nan
79,1021,,42.902,-76.864,695.9,-19.24,21.3,nan
79,3654,,42.657,-77.062,696.2,-19.31,21.38,nan
79,4020,,42.873,-77.269,686.7,-17.16,18.98,nan
80,231,,44.744,-79.34,655.7,4.51,4.97,nan
80,860,,43.271,-76.204,705.2,-20.98,23.24,nan
80,1408,,45.01,-79.613,660.0,7.67,8.47,nan
80,1621,,45.704,-81.996,717.2,23.11,25.64,nan
80,2495,,44.273,-78.749,653.8,-1.72,1.9,nan
80,3548,,44.582,-78.799,654.0,2.3,2.54,nan
80,4407,,45.712,-82.23,724.4,24.26,26.94,nan
80,4915,,42.943,-76.427,707.5,-21.4,23.72,nan
81,1425,,45.12,-79.576,660.4,7.58,8.36,nan
81,1524,,44.554,-78.346,655.3,-3.46,3.81,nan
81,1788,,44.307,-77.959,659.2,-6.83,7.53,nan
81,2024,,46.208,-81.51,715.2,22.66,25.13,nan
81,2459,,45.175,-79.097,656.6,4.86,5.36,nan
81,4246,,44.489,-78.227,656.1,-4.37,4.82,nan
82,8,,44.481,-75.794,689.7,-17.46,19.32,nan
82,196,,46.124,-80.013,678.6,14.55,16.08,nan
82,1290,,46.666,-80.672,703.3,20.38,22.59,nan
82,2817,,45.699,-78.275,655.7,3.21,3.54,nan
82,3859,,45.416,-77.79,655.0,-1.98,2.19,nan
83,761,,47.181,-80.181,702.5,20.08,22.25,nan
83,834,,45.757,-76.769,659.1,-5.99,6.61,nan
83,2165,,45.473,-76.252,666.7,-10.16,11.21,nan
83,2244,,44.888,-76.079,678.0,-14.18,15.67,nan
83,3450,,46.845,-79.224,676.6,13.75,15.19,nan
83,3697,,46.209,-77.757,656.2,3.05,3.36,nan
83,4417,,46.669,-78.997,670.3,11.62,12.83,nan
83,4668,,45.577,-77.241,657.1,-4.16,4.59,nan
84,524,,47.556,-79.239,689.2,17.03,18.85,nan
84,674,,47.043,-79.273,681.0,14.88,16.45,nan
84,746,,45.269,-74.169,712.6,-21.87,24.25,nan
84,876,,47.287,-79.462,688.4,16.85,18.64,nan
84,1179,,44.999,-74.86,702.2,-19.9,22.05,nan
84,1894,,47.406,-80.016,703.6,20.18,22.36,nan
84,2347,,46.967,-78.06,662.8,7.93,8.76,nan
84,3291,,46.822,-78.742,669.5,11.05,12.21,nan
84,4472,,47.136,-78.668,671.9,11.98,13.23,nan
84,4980,,47.007,-78.805,672.3,12.11,13.37,nan
85,632,,46.719,-75.983,659.3,-5.16,5.69,nan
