plan_index,t_plan,instrument,t_img
2,200.0,thermal,280.0
2,200.0,thermal,300.0
3,300.0,thermal,300.0
3,300.0,thermal,320.0
3,300.0,thermal,330.0
3,300.0,thermal,340.0
4,400.0,thermal,500.0
5,500.0,thermal,500.0
5,500.0,thermal,510.0
5,500.0,thermal,520.0
5,500.0,thermal,560.0
5,500.0,thermal,580.0
5,500.0,thermal,590.0
6,600.0,thermal,630.0
6,600.0,thermal,640.0
6,600.0,thermal,650.0
6,600.0,thermal,680.0
7,700.0,thermal,750.0
7,700.0,thermal,760.0
7,700.0,thermal,780.0
7,700.0,thermal,800.0
8,800.0,thermal,800.0
8,800.0,thermal,810.0
8,800.0,thermal,820.0
8,800.0,thermal,830.0
8,800.0,thermal,840.0
8,800.0,thermal,850.0
8,800.0,thermal,860.0
8,800.0,thermal,870.0
8,800.0,thermal,880.0
8,800.0,thermal,890.0
8,800.0,thermal,900.0
9,860.0,thermal,870.0
9,860.0,thermal,880.0
9,860.0,thermal,890.0
9,860.0,thermal,900.0
10,900.0,thermal,900.0
10,900.0,thermal,910.0
10,900.0,thermal,920.0
10,900.0,thermal,930.0
10,900.0,thermal,940.0
10,900.0,thermal,950.0
10,900.0,thermal,970.0
10,900.0,thermal,980.0
10,900.0,thermal,990.0
10,900.0,thermal,1000.0
11,1000.0,thermal,1000.0
11,1000.0,thermal,1020.0
11,1000.0,thermal,1030.0
11,1000.0,thermal,1040.0
11,1000.0,thermal,1050.0
11,1000.0,thermal,1060.0
11,1000.0,thermal,1070.0
13,1200.0,thermal,1220.0
13,1200.0,thermal,1240.0
15,1400.0,thermal,1440.0
15,1400.0,thermal,1460.0
15,1400.0,thermal,1480.0
17,1600.0,thermal,1640.0
17,1600.0,thermal,1660.0
17,1600.0,thermal,1680.0
17,1600.0,thermal,1690.0
17,1600.0,thermal,1700.0
18,1700.0,thermal,1700.0
18,1700.0,thermal,1710.0
18,1700.0,thermal,1720.0
18,1700.0,thermal,1750.0
18,1700.0,thermal,1760.0
18,1700.0,thermal,1770.0
18,1700.0,thermal,1780.0
18,1700.0,thermal,1790.0
18,1700.0,thermal,1800.0
19,1800.0,thermal,1800.0
19,1800.0,thermal,1810.0
19,1800.0,thermal,1820.0
19,1800.0,thermal,1830.0
19,1800.0,thermal,1850.0
19,1800.0,thermal,1870.0
19,1800.0,thermal,1880.0
19,1800.0,thermal,1900.0
20,1900.0,thermal,1900.0
20,1900.0,thermal,1910.0
20,1900.0,thermal,1990.0
20,1900.0,thermal,2000.0
21,2000.0,thermal,2000.0
21,2000.0,thermal,2040.0
21,2000.0,thermal,2050.0
21,2000.0,thermal,2060.0
21,2000.0,thermal,2070.0
21,2000.0,thermal,2080.0
21,2000.0,thermal,2100.0
22,2100.0,thermal,2100.0
22,2100.0,thermal,2110.0
22,2100.0,thermal,2150.0
22,2100.0,thermal,2160.0
22,2100.0,thermal,2190.0
23,2200.0,thermal,2230.0
23,2200.0,thermal,2240.0
