t_msg,Sender,Message Type
0.0,therm_sat_0_2,PLAN
0.0,vis_sat_0_1,PLAN
0.0,therm_sat_0_1,PLAN
0.0,sar_sat_0_0,PLAN
0.0,therm_sat_0_0,PLAN
0.0,vis_sat_0_0,PLAN
0.0,vis_sat_0_2,PLAN
0.0,sar_sat_0_1,PLAN
280.0,therm_sat_0_0,OBSERVATION_PERFORMED
280.0,vis_sat_0_0,OBSERVATION_PERFORMED
280.0,vis_sat_0_2,OBSERVATION_PERFORMED
280.0,vis_sat_0_1,OBSERVATION_PERFORMED
280.0,sar_sat_0_0,OBSERVATION_PERFORMED
280.0,sar_sat_0_1,OBSERVATION_PERFORMED
280.0,therm_sat_0_2,OBSERVATION_PERFORMED
280.0,therm_sat_0_1,OBSERVATION_PERFORMED
300.0,vis_sat_0_0,OBSERVATION_PERFORMED
300.0,sar_sat_0_1,OBSERVATION_PERFORMED
300.0,vis_sat_0_1,OBSERVATION_PERFORMED
300.0,sar_sat_0_0,OBSERVATION_PERFORMED
300.0,vis_sat_0_2,OBSERVATION_PERFORMED
300.0,therm_sat_0_0,OBSERVATION_PERFORMED
300.0,therm_sat_0_1,OBSERVATION_PERFORMED
300.0,therm_sat_0_2,OBSERVATION_PERFORMED
320.0,vis_sat_0_0,OBSERVATION_PERFORMED
320.0,therm_sat_0_0,OBSERVATION_PERFORMED
320.0,sar_sat_0_1,OBSERVATION_PERFORMED
320.0,vis_sat_0_1,OBSERVATION_PERFORMED
320.0,therm_sat_0_1,OBSERVATION_PERFORMED
320.0,vis_sat_0_2,OBSERVATION_PERFORMED
320.0,sar_sat_0_0,OBSERVATION_PERFORMED
320.0,therm_sat_0_2,OBSERVATION_PERFORMED
330.0,sar_sat_0_1,OBSERVATION_PERFORMED
330.0,therm_sat_0_0,OBSERVATION_PERFORMED
330.0,vis_sat_0_0,OBSERVATION_PERFORMED
330.0,therm_sat_0_2,OBSERVATION_PERFORMED
330.0,vis_sat_0_1,OBSERVATION_PERFORMED
330.0,sar_sat_0_0,OBSERVATION_PERFORMED
330.0,vis_sat_0_2,OBSERVATION_PERFORMED
330.0,therm_sat_0_1,OBSERVATION_PERFORMED
340.0,vis_sat_0_1,OBSERVATION_PERFORMED
340.0,therm_sat_0_2,OBSERVATION_PERFORMED
340.0,sar_sat_0_1,OBSERVATION_PERFORMED
340.0,vis_sat_0_0,OBSERVATION_PERFORMED
340.0,therm_sat_0_1,OBSERVATION_PERFORMED
340.0,sar_sat_0_0,OBSERVATION_PERFORMED
340.0,vis_sat_0_2,OBSERVATION_PERFORMED
340.0,therm_sat_0_0,OBSERVATION_PERFORMED
500.0,therm_sat_0_0,OBSERVATION_PERFORMED
500.0,vis_sat_0_1,OBSERVATION_PERFORMED
500.0,therm_sat_0_1,OBSERVATION_PERFORMED
500.0,vis_sat_0_2,OBSERVATION_PERFORMED
500.0,vis_sat_0_0,OBSERVATION_PERFORMED
500.0,therm_sat_0_2,OBSERVATION_PERFORMED
500.0,sar_sat_0_0,OBSERVATION_PERFORMED
500.0,sar_sat_0_1,OBSERVATION_PERFORMED
510.0,sar_sat_0_1,OBSERVATION_PERFORMED
510.0,therm_sat_0_0,OBSERVATION_PERFORMED
510.0,vis_sat_0_1,OBSERVATION_PERFORMED
510.0,vis_sat_0_2,OBSERVATION_PERFORMED
510.0,therm_sat_0_2,OBSERVATION_PERFORMED
510.0,therm_sat_0_1,OBSERVATION_PERFORMED
510.0,sar_sat_0_0,OBSERVATION_PERFORMED
510.0,vis_sat_0_0,OBSERVATION_PERFORMED
520.0,therm_sat_0_2,OBSERVATION_PERFORMED
520.0,therm_sat_0_0,OBSERVATION_PERFORMED
520.0,vis_sat_0_2,OBSERVATION_PERFORMED
520.0,vis_sat_0_1,OBSERVATION_PERFORMED
520.0,vis_sat_0_0,OBSERVATION_PERFORMED
520.0,sar_sat_0_0,OBSERVATION_PERFORMED
520.0,sar_sat_0_1,OBSERVATION_PERFORMED
520.0,therm_sat_0_1,OBSERVATION_PERFORMED
559.9999999999999,therm_sat_0_2,OBSERVATION_PERFORMED
559.9999999999999,therm_sat_0_1,OBSERVATION_PERFORMED
559.9999999999999,vis_sat_0_1,OBSERVATION_PERFORMED
559.9999999999999,vis_sat_0_0,OBSERVATION_PERFORMED
559.9999999999999,sar_sat_0_0,OBSERVATION_PERFORMED
559.9999999999999,vis_sat_0_2,OBSERVATION_PERFORMED
559.9999999999999,therm_sat_0_0,OBSERVATION_PERFORMED
559.9999999999999,sar_sat_0_1,OBSERVATION_PERFORMED
580.0,sar_sat_0_0,OBSERVATION_PERFORMED
580.0,therm_sat_0_2,OBSERVATION_PERFORMED
580.0,sar_sat_0_1,OBSERVATION_PERFORMED
580.0,vis_sat_0_0,OBSERVATION_PERFORMED
580.0,therm_sat_0_1,OBSERVATION_PERFORMED
580.0,therm_sat_0_0,OBSERVATION_PERFORMED
580.0,vis_sat_0_1,OBSERVATION_PERFORMED
580.0,vis_sat_0_2,OBSERVATION_PERFORMED
590.0,therm_sat_0_2,OBSERVATION_PERFORMED
590.0,vis_sat_0_2,OBSERVATION_PERFORMED
590.0,vis_sat_0_1,OBSERVATION_PERFORMED
590.0,sar_sat_0_0,OBSERVATION_PERFORMED
590.0,vis_sat_0_0,OBSERVATION_PERFORMED
590.0,therm_sat_0_0,OBSERVATION_PERFORMED
590.0,sar_sat_0_1,OBSERVATION_PERFORMED
590.0,therm_sat_0_1,OBSERVATION_PERFORMED
610.0,therm_sat_0_1,OBSERVATION_PERFORMED
610.0,sar_sat_0_0,OBSERVATION_PERFORMED
610.0,therm_sat_0_0,OBSERVATION_PERFORMED
610.0,vis_sat_0_0,OBSERVATION_PERFORMED
610.0,therm_sat_0_2,OBSERVATION_PERFORMED
610.0,vis_sat_0_2,OBSERVATION_PERFORMED
610.0,sar_sat_0_1,OBSERVATION_PERFORMED
610.0,vis_sat_0_1,OBSERVATION_PERFORMED
630.0,vis_sat_0_2,OBSERVATION_PERFORMED
630.0,therm_sat_0_1,OBSERVATION_PERFORMED
630.0,therm_sat_0_2,OBSERVATION_PERFORMED
630.0,sar_sat_0_0,OBSERVATION_PERFORMED
630.0,vis_sat_0_1,OBSERVATION_PERFORMED
630.0,therm_sat_0_0,OBSERVATION_PERFORMED
630.0,vis_sat_0_0,OBSERVATION_PERFORMED
630.0,sar_sat_0_1,OBSERVATION_PERFORMED
640.0,vis_sat_0_1,OBSERVATION_PERFORMED
640.0,therm_sat_0_0,OBSERVATION_PERFORMED
640.0,sar_sat_0_1,OBSERVATION_PERFORMED
640.0,sar_sat_0_0,OBSERVATION_PERFORMED
640.0,vis_sat_0_0,OBSERVATION_PERFORMED
640.0,vis_sat_0_2,OBSERVATION_PERFORMED
640.0,therm_sat_0_1,OBSERVATION_PERFORMED
640.0,therm_sat_0_2,OBSERVATION_PERFORMED
650.0,sar_sat_0_0,OBSERVATION_PERFORMED
650.0,vis_sat_0_2,OBSERVATION_PERFORMED
650.0,vis_sat_0_1,OBSERVATION_PERFORMED
650.0,therm_sat_0_0,OBSERVATION_PERFORMED
650.0,vis_sat_0_0,OBSERVATION_PERFORMED
650.0,sar_sat_0_1,OBSERVATION_PERFORMED
650.0,therm_sat_0_1,OBSERVATION_PERFORMED
650.0,therm_sat_0_2,OBSERVATION_PERFORMED
680.0,therm_sat_0_1,OBSERVATION_PERFORMED
680.0,sar_sat_0_0,OBSERVATION_PERFORMED
680.0,therm_sat_0_2,OBSERVATION_PERFORMED
680.0,vis_sat_0_2,OBSERVATION_PERFORMED
680.0,sar_sat_0_1,OBSERVATION_PERFORMED
680.0,vis_sat_0_1,OBSERVATION_PERFORMED
680.0,therm_sat_0_0,OBSERVATION_PERFORMED
680.0,vis_sat_0_0,OBSERVATION_PERFORMED
710.0,sar_sat_0_1,OBSERVATION_PERFORMED
710.0,vis_sat_0_2,OBSERVATION_PERFORMED
710.0,therm_sat_0_1,OBSERVATION_PERFORMED
710.0,therm_sat_0_0,OBSERVATION_PERFORMED
710.0,vis_sat_0_0,OBSERVATION_PERFORMED
710.0,vis_sat_0_1,OBSERVATION_PERFORMED
710.0,sar_sat_0_0,OBSERVATION_PERFORMED
710.0,therm_sat_0_2,OBSERVATION_PERFORMED
750.0,sar_sat_0_1,OBSERVATION_PERFORMED
750.0,therm_sat_0_2,OBSERVATION_PERFORMED
750.0,vis_sat_0_1,OBSERVATION_PERFORMED
750.0,vis_sat_0_2,OBSERVATION_PERFORMED
750.0,sar_sat_0_0,OBSERVATION_PERFORMED
750.0,vis_sat_0_0,OBSERVATION_PERFORMED
750.0,therm_sat_0_1,OBSERVATION_PERFORMED
750.0,therm_sat_0_0,OBSERVATION_PERFORMED
760.0,vis_sat_0_2,OBSERVATION_PERFORMED
760.0,sar_sat_0_0,OBSERVATION_PERFORMED
760.0,vis_sat_0_0,OBSERVATION_PERFORMED
760.0,sar_sat_0_1,OBSERVATION_PERFORMED
760.0,therm_sat_0_1,OBSERVATION_PERFORMED
760.0,therm_sat_0_2,OBSERVATION_PERFORMED
760.0,therm_sat_0_0,OBSERVATION_PERFORMED
760.0,vis_sat_0_1,OBSERVATION_PERFORMED
780.0,sar_sat_0_1,OBSERVATION_PERFORMED
780.0,therm_sat_0_0,OBSERVATION_PERFORMED
780.0,vis_sat_0_2,OBSERVATION_PERFORMED
780.0,sar_sat_0_0,OBSERVATION_PERFORMED
780.0,vis_sat_0_1,OBSERVATION_PERFORMED
780.0,therm_sat_0_2,OBSERVATION_PERFORMED
780.0,therm_sat_0_1,OBSERVATION_PERFORMED
780.0,vis_sat_0_0,OBSERVATION_PERFORMED
800.0,sar_sat_0_1,OBSERVATION_PERFORMED
800.0,sar_sat_0_0,OBSERVATION_PERFORMED
800.0,vis_sat_0_0,OBSERVATION_PERFORMED
800.0,therm_sat_0_1,OBSERVATION_PERFORMED
800.0,vis_sat_0_1,OBSERVATION_PERFORMED
800.0,therm_sat_0_2,OBSERVATION_PERFORMED
800.0,vis_sat_0_2,OBSERVATION_PERFORMED
800.0,therm_sat_0_0,OBSERVATION_PERFORMED
809.9999999999999,therm_sat_0_0,OBSERVATION_PERFORMED
809.9999999999999,vis_sat_0_1,OBSERVATION_PERFORMED
809.9999999999999,sar_sat_0_1,OBSERVATION_PERFORMED
