GRID COVERAGE
Epoch [JDUT1] is 2458849.5
Step size [s] is 10.0
Mission Duration [Days] is 0.1
time index,GP index,lat [deg],lon [deg]
324,380,-1.385,9.101
325,380,-1.385,9.101
325,3322,-1.094,9.385
326,380,-1.385,9.101
327,380,-1.385,9.101
336,900,5.702,10.502
337,900,5.702,10.502
337,1074,6.041,11.3
338,900,5.702,10.502
338,1074,6.041,11.3
339,900,5.702,10.502
339,1074,6.041,11.3
340,656,9.971,6.836
340,900,5.702,10.502
340,1074,6.041,11.3
341,656,9.971,6.836
341,900,5.702,10.502
341,1074,6.041,11.3
342,656,9.971,6.836
342,900,5.702,10.502
342,1074,6.041,11.3
343,656,9.971,6.836
343,900,5.702,10.502
343,1074,6.041,11.3
343,1158,10.323,11.48
343,1585,11.463,8.405
343,2428,9.685,12.015
343,2545,11.723,8.027
344,656,9.971,6.836
344,900,5.702,10.502
344,1074,6.041,11.3
344,1158,10.323,11.48
344,1585,11.463,8.405
344,2428,9.685,12.015
344,2545,11.723,8.027
345,656,9.971,6.836
345,900,5.702,10.502
345,1074,6.041,11.3
345,1158,10.323,11.48
345,1585,11.463,8.405
345,2428,9.685,12.015
345,2545,11.723,8.027
346,656,9.971,6.836
346,900,5.702,10.502
346,1074,6.041,11.3
346,1158,10.323,11.48
346,1585,11.463,8.405
346,2428,9.685,12.015
346,2545,11.723,8.027
347,656,9.971,6.836
347,900,5.702,10.502
347,1074,6.041,11.3
347,1158,10.323,11.48
347,1585,11.463,8.405
347,2428,9.685,12.015
347,2545,11.723,8.027
348,656,9.971,6.836
348,900,5.702,10.502
348,1074,6.041,11.3
348,1158,10.323,11.48
348,1585,11.463,8.405
348,2428,9.685,12.015
348,2545,11.723,8.027
349,656,9.971,6.836
349,1074,6.041,11.3
349,1158,10.323,11.48
349,1585,11.463,8.405
349,2428,9.685,12.015
349,2545,11.723,8.027
350,9,13.077,14.527
350,656,9.971,6.836
350,1158,10.323,11.48
350,1585,11.463,8.405
350,2428,9.685,12.015
350,2545,11.723,8.027
351,9,13.077,14.527
351,656,9.971,6.836
351,1158,10.323,11.48
351,1585,11.463,8.405
351,2428,9.685,12.015
351,2545,11.723,8.027
352,656,9.971,6.836
352,1158,10.323,11.48
352,1585,11.463,8.405
352,2428,9.685,12.015
352,2545,11.723,8.027
353,1158,10.323,11.48
353,1585,11.463,8.405
353,2428,9.685,12.015
353,2545,11.723,8.027
354,1158,10.323,11.48
354,1585,11.463,8.405
354,2428,9.685,12.015
354,2545,11.723,8.027
