req_id,measurer,measurement,pos,t_start,t_end,t_corr,t_img,u_max,u_exp,u
75584e12,img_0,visible,"[615.1169652280626, -4623.984611421844, 4349.829892513073]",0,86400,86400,700.0,1,0.3333333333333333,0.11021090534979423
755962ac,img_0,visible,"[898.8023036626363, -4584.657516159214, 4342.08389368898]",0,86400,86400,720.0,1,0.3333333333333333,0.11018518518518518
7559e18c,img_0,visible,"[1116.7695837167582, -4411.567404308492, 4468.950815964037]",0,86400,86400,760.0,1,0.3333333333333333,0.11013374485596707
756b3928,img_0,visible,"[1114.3333362144322, -3833.713792656991, 4974.085085035283]",0,86400,86400,860.0,1,0.3333333333333333,0.1100051440329218
756827ba,img_0,visible,"[915.182958438889, -3660.6480566836904, 5142.248401143089]",0,86400,86400,880.0,1,0.3333333333333333,0.10997942386831275
756d84b2,img_0,visible,"[1467.2017196260167, -3768.642845538931, 4932.065782009844]",0,86400,86400,890.0,1,0.3333333333333333,0.10996656378600823
75639128,img_0,visible,"[1269.1043438792206, -3445.6511992852834, 5215.120769319583]",0,86400,86400,940.0,1,0.3333333333333333,0.10990226337448558
755d5452,img_0,visible,"[1641.7518519186995, -3405.449098698736, 5136.943639390175]",0,86400,86400,960.0,1,0.3333333333333333,0.10987654320987655
7560ba48,img_0,visible,"[2690.7876989499314, 1478.1265722988296, 5590.655243960366]",0,86400,86400,1730.0,1,0.3333333333333333,0.10888631687242797
756403ba,img_0,visible,"[2908.9148357225654, 1529.2317675417105, 5466.286430569853]",0,86400,86400,1750.0,1,0.3333333333333333,0.10886059670781892
755a97ee,img_0,visible,"[2736.5225342760405, 1646.4048317042023, 5520.997936145076]",0,86400,86400,1760.0,1,0.3333333333333333,0.1088477366255144
755afc98,img_0,visible,"[2565.1049027893, 1740.7222025433125, 5574.113894838959]",0,86400,86400,1770.0,1,0.3333333333333333,0.10883487654320986
7561a912,img_0,visible,"[2630.174015858927, 2107.32041059329, 5414.979962546043]",0,86400,86400,1830.0,1,0.3333333333333333,0.10875771604938272
75671f82,img_0,visible,"[2985.572322411262, 2952.5368728689937, 4800.9901669737355]",0,86400,86400,1990.0,1,0.3333333333333333,0.10855195473251028
7569ff04,img_0,visible,"[3189.920123731725, 2883.3712928389405, 4710.753894359306]",0,86400,86400,2000.0,1,0.3333333333333333,0.10853909465020575
755a6148,img_0,visible,"[2900.265884658504, 3836.635861214348, 4189.189149239713]",0,86400,86400,2150.0,1,0.3333333333333333,0.10834619341563785
755f6706,img_0,visible,"[3544.8367120268326, 3591.28373183685, 3900.95328142859]",0,86400,86400,2250.0,1,0.3333333333333333,0.10821759259259259
755f2f02,img_0,visible,"[-660.1806065812408, -3881.037609803973, 5018.200005914349]",0,86400,86400,6800.0,1,0.3333333333333333,0.10236625514403291
756440be,img_0,visible,"[-324.55826951299105, -4107.041814579687, 4869.034003204581]",0,86400,86400,6810.0,1,0.3333333333333333,0.10235339506172839
75604446,img_0,visible,"[-601.3874084163037, -3916.925513578675, 4997.66449128515]",0,86400,86400,6820.0,1,0.3333333333333333,0.10234053497942387
7567bb72,img_0,visible,"[-617.3455133490522, -3774.054347530024, 5104.5098648562935]",0,86400,86400,6830.0,1,0.3333333333333333,0.10232767489711933
7564e136,img_0,visible,"[831.8868848750332, -2520.5760461900536, 5799.593370877265]",0,86400,86400,7120.0,1,0.3333333333333333,0.10195473251028805
755fd114,img_0,visible,"[808.5760258594047, -2404.445269145716, 5851.962954382562]",0,86400,86400,7130.0,1,0.3333333333333333,0.10194187242798354
