Datametrics file based on GRID COVERAGE
Epoch [JDUT1] is 2458849.5
Step size [s] is 10.0
Mission Duration [Days] is 1.0
time index,GP index,pnt-opt index,lat [deg],lon [deg],observation range [km],look angle [deg],incidence angle [deg],solar zenith [deg]
12,2607,,7.21,81.535,637.2,8.41,9.25,nan
55,2857,,31.71,90.744,665.6,14.89,16.42,nan
63,4355,,35.963,93.305,662.9,12.86,14.18,nan
65,1722,,37.0,94.295,657.1,10.26,11.31,nan
66,2046,,36.86,95.915,646.4,-1.84,2.03,nan
67,1218,,37.131,96.923,652.8,-7.59,8.36,nan
69,286,,38.302,97.556,652.3,-6.63,7.31,nan
98,1661,,52.644,111.572,673.4,-8.88,9.81,nan
137,4404,,66.452,149.906,692.3,1.01,1.13,nan
139,3159,,67.889,151.955,710.9,12.01,13.34,nan
139,3674,,68.015,151.914,714.3,13.11,14.56,nan
141,1239,,68.235,155.065,716.2,13.2,14.67,nan
141,2588,,68.345,155.124,719.3,14.11,15.68,nan
141,3555,,68.322,155.134,718.6,13.91,15.46,nan
150,4436,,67.299,169.268,703.5,3.63,4.03,nan
171,3091,,61.539,-164.719,738.6,-13.01,14.5,86.37
172,1060,,60.982,-163.839,747.1,-15.13,16.88,86.01
173,1244,,60.99,-162.401,736.8,-11.97,13.34,86.27
173,1269,,60.839,-162.586,741.5,-13.44,14.99,86.1
177,736,,59.936,-158.191,732.2,-9.16,10.21,86.19
177,885,,59.43,-158.838,747.3,-14.21,15.86,85.59
177,1865,,59.596,-158.538,740.9,-12.37,13.79,85.81
180,2215,,58.548,-155.806,742.0,-12.02,13.4,85.54
662,2003,,38.273,72.612,652.7,-6.87,7.57,nan
673,131,,43.922,77.104,661.2,-8.31,9.16,nan
685,41,,49.656,83.348,675.1,-11.26,12.45,nan
686,3649,,51.754,80.836,679.7,12.68,14.02,nan
686,4071,,51.677,80.765,679.4,12.58,13.91,nan
730,2280,,67.756,124.223,712.3,12.92,14.35,nan
747,2124,,68.257,151.161,733.9,15.28,17.01,nan
1167,786,,-10.5,25.465,635.8,7.07,7.77,nan
1170,3565,,-8.757,26.07,635.9,7.39,8.12,nan
1171,592,,-8.256,26.556,632.2,4.59,5.05,nan
1172,1578,,-7.847,26.979,630.3,1.98,2.17,nan
1191,25,,2.761,31.41,631.4,-4.58,5.03,nan
1249,1509,,35.115,45.71,650.6,-7.33,8.08,nan
1265,763,,43.385,51.84,662.4,-9.18,10.13,nan
1265,3157,,43.773,51.202,654.3,-3.42,3.77,nan
1269,3462,,45.491,53.558,663.3,-8.45,9.33,nan
1271,374,,47.142,53.101,657.4,2.71,2.99,nan
1288,4979,,55.82,61.902,677.6,9.5,10.5,nan
1291,1594,,56.086,65.929,671.8,-4.67,5.16,nan
1295,2182,,58.894,67.014,683.5,9.96,11.02,nan
1296,2932,,59.718,67.275,697.0,14.38,15.93,nan
1301,4894,,61.845,71.626,704.5,15.43,17.11,nan
1302,1693,,61.735,73.415,688.3,9.86,10.92,nan
1319,2340,,66.941,93.511,705.9,11.77,13.06,nan
1338,3381,,65.687,122.096,714.8,-9.61,10.69,88.77
1363,4223,,59.565,151.757,740.2,-12.04,13.43,85.7
