Satellite states are in CARTESIAN_EARTH_CENTERED_INERTIAL (equatorial-plane) frame.
Epoch [JDUT1] is 2458849.5
Step size [s] is 10.0
Mission Duration [Days] is 0.125
time index,x [km],y [km],z [km],vx [km/s],vy [km/s],vz [km/s]
0,-7007.22,8.581369543921316e-13,0.0,-3.6269833467743277e-16,-2.961656658311257,6.9772258452402465
1,-7006.814684840835,-29.562554177320322,69.73520614227363,0.0811200183273485,-2.961485723207264,6.976822103075885
2,-7005.598787660759,-59.12169590292958,139.46234174339335,0.16223037050014105,-2.9609729394091246,6.975610927515152
3,-7003.572453345288,-88.6740131546473,209.17333728030982,0.2433213917151335,-2.960118371454786,6.973592471346635
4,-7000.735923347774,-118.21609476923587,278.8601252660022,0.3243834198714308,-2.9589221268956125,6.970766989189812
5,-6997.089535655654,-147.7445308717695,348.5146412671237,0.4054067969210145,-2.9573843562785664,6.96713483745282
6,-6992.6337247432,-177.25591330466426,418.12882492103125,0.4863818702182502,-2.9555052531212644,6.962696474273316
7,-6987.369021510797,-206.7468360565361,487.6946209522545,0.5672989938684051,-2.9532850538799296,6.9574524594425124
8,-6981.29605321074,-236.213895690624,557.203980188041,0.6481485300746722,-2.9507240379102257,6.951403454312342
9,-6974.415543359601,-265.6536917728153,626.6488605729289,0.7289208504834648,-2.9478225274210126,6.944550221685817
10,-6966.728311637121,-295.0628272992147,696.0212281821268,0.8096063375277187,-2.944580887421011,6.936893625690613
11,-6958.23527377174,-324.4379091230585,765.3130582335532,0.8901953857679358,-2.9409995256584036,6.928434631635897
12,-6948.937441412695,-353.7755483810626,834.5163360983468,0.9706784032306275,-2.9370788925533966,6.919174305852446
13,-6938.835921988781,-383.0723609190344,903.6230583097134,1.0510458127438975,-2.932819481123745,6.90911381551612
14,-6927.9319185537715,-412.32496771670407,972.6252335699121,1.1312880532699514,-2.928221826903267,6.8982544284547
15,-6916.22672961854,-441.5299953117323,1041.514883755249,1.211395581234146,-2.9232865078533874,6.8865975129381996
16,-6903.721748969927,-470.6840762227507,1110.2840449188516,1.2913588718503408,-2.9180141442677128,6.874144537452651
17,-6890.418465476361,-499.78384937146194,1178.9247682911428,1.3711684204423218,-2.912405398669673,6.86089707045748
18,-6876.318462880322,-528.8259605036739,1247.429121277782,1.4508147437609873,-2.906460975703264,6.846856780126508
19,-6861.4234195776435,-557.8070626091758,1315.7891884549651,1.5302883812969799,-2.9001816220169223,6.832025434072663
20,-6845.735108383733,-586.7238163404645,1383.9970725618198,1.6095798965885109,-2.8935681261405533,6.81640489905649
21,-6829.25539628673,-615.5728904301991,1452.0448954899323,1.6886798785242694,-2.8866213183557483,6.79999714067851
22,-6811.986244187704,-644.3509621072889,1519.9247992695862,1.7675789426408148,-2.87934207055926,6.782804223055558
23,-6793.929706627875,-673.0547175116294,1587.6289470527543,1.8462677324144838,-2.87173129611972,6.764828308481157
24,-6775.087931502988,-701.6808521073509,1655.149524092643,1.9247369205474596,-2.8637899497276855,6.746071657070036
25,-6755.463159764834,-730.2260710945606,1722.478738719513,2.002977210247647,-2.855519027239021,6.7265366263869
26,-6735.0577251100385,-758.6870898194474,1789.6088233128235,2.080979336502251,-2.846919565511704,6.7062256710595305
27,-6713.8740536561445,-787.0606341827462,1856.5320352693163,2.1587340673446316,-2.837992642236048,6.685141342376364
28,-6691.914663605059,-815.3434410465127,1923.240657967127,2.23623220511437,-2.828739375758425,6.663286287868622
29,-6669.182164893976,-843.5322586390117,1989.7270017255166,2.313464587710111,-2.819160924898537,6.640663250877124
30,-6645.679258833773,-871.6238469578568,2055.983404760277,2.3904220898350346,-2.809258488760258,6.617275070103934
