observer,t_img,lat,lon,range,look,incidence,zenith,instrument_name
therm_sat_0_0,30.0,66.0,-5.6,709.9,-8.4,9.33,,thermal
vis_sat_0_1,30.0,-65.8,174.1,709.6,10.29,11.43,42.95,visual
vis_sat_0_0,60.0,3.9,-99.6,636.6,8.35,9.18,82.26,visual
therm_sat_0_0,110.0,64.5,4.5,736.0,-15.19,16.93,,thermal
vis_sat_0_1,170.0,-65.2,-165.3,687.8,-3.43,3.8,43.2,visual
vis_sat_0_1,330.0,-60.4,-147.9,678.9,-5.95,6.58,43.7,visual
sar_sat_0_0,340.0,-19.1,85.0,790.3,-13.4,15.04,86.44,sar
sar_sat_0_0,560.0,-29.9,93.1,770.1,9.31,10.43,74.93,sar
vis_sat_0_1,580.0,-48.2,-132.8,669.7,10.03,11.08,45.93,visual
sar_sat_0_0,640.0,-34.0,95.5,768.9,10.21,11.43,71.51,sar
therm_sat_0_0,790.0,37.6,55.1,775.7,-13.48,15.1,,thermal
vis_sat_0_1,810.0,-36.1,-122.8,653.8,8.63,9.51,52.79,visual
vis_sat_0_0,940.0,50.3,-70.3,685.1,-14.21,15.72,,visual
therm_sat_0_0,950.0,30.0,62.3,761.4,4.2,4.71,,thermal
sar_sat_0_0,960.0,-49.4,109.6,777.0,17.33,19.41,58.02,sar
vis_sat_0_0,1000.0,55.2,-69.7,683.1,12.27,13.58,,visual
vis_sat_0_0,1020.0,55.4,-67.2,668.4,3.4,3.75,,visual
sar_sat_0_0,1090.0,-56.8,115.1,729.6,-2.13,2.37,55.18,sar
therm_sat_0_0,1130.0,20.0,66.0,766.1,-2.35,2.64,,thermal
therm_sat_0_0,1160.0,18.6,67.4,769.5,5.01,5.61,,thermal
vis_sat_0_1,1200.0,-14.8,-111.6,632.3,-2.1,2.31,68.55,visual
therm_sat_0_0,1210.0,16.6,68.9,781.0,10.11,11.34,,thermal
therm_sat_0_0,1250.0,14.1,69.6,776.9,8.09,9.07,,thermal
