Satellite states are in CARTESIAN_EARTH_CENTERED_INERTIAL (equatorial-plane) frame.
Epoch [JDUT1] is 2458849.5
Step size [s] is 10.0
Mission Duration [Days] is 1.0
time index,x [km],y [km],z [km],vx [km/s],vy [km/s],vz [km/s]
0,-3556.4282412058787,2406.8703077389064,5670.231108717649,-6.499290603451279,-1.4368433292796559,-3.384990756601556
1,-3621.176622202463,2392.39623138503,5636.08570919291,-6.459572361050425,-1.4633705420015801,-3.4475681021456537
2,-3685.5245855452545,2377.658213094642,5601.3168446699065,-6.4191507629304,-1.4897291034799411,-3.509747089524225
3,-3749.4651266028086,2362.657950177639,5565.928529496624,-6.378030591862341,-1.5159162421819639,-3.5715211624332177
4,-3812.991288880818,2347.39716750147,5529.924843300823,-6.336216699189025,-1.5419292076656368,-3.6328838145052322
5,-3876.0961647042786,2331.877617279394,5493.309930488136,-6.293714004187392,-1.5677652708064276,-3.693828589847888
6,-3938.7728958929647,2316.1010788566227,5456.087999735008,-6.250527493427987,-1.5934217240208246,-3.754349083574856
7,-4001.014674430731,2300.069358494169,5418.263323476215,-6.20666222013122,-1.618895881486909,-3.8144389423297853
8,-4062.8147431282923,2283.784289150499,5379.84023738725,-6.162123303520584,-1.6441850793619601,-3.874091864803055
9,-4124.166396279458,2267.247730261095,5340.823139861571,-6.116915928173029,-1.66928667599693,-3.9333016022413467
10,-4185.0629803109805,2250.461567515833,5301.216491482777,-6.071045343366421,-1.6941980521480362,-3.9920619589501887
11,-4245.497894425764,2233.4277126342913,5261.0248144918205,-6.024516862424357,-1.7189166111853005,-4.050366792789329
12,-4305.464591239539,2216.1481031389994,5220.252692249296,-5.977335862058253,-1.743439779298157,-4.10821001566115
13,-4364.956577411023,2198.624702126611,5178.904768692861,-5.92950778170692,-1.767765005698115,-4.165585593992028
14,-4423.967414265358,2180.859498037125,5136.985747789902,-5.881038122873678,-1.7918897628184103,-4.222487549206694
15,-4482.4907184110025,2162.8545044210828,5094.500392985492,-5.831932448461064,-1.8158115465108289,-4.278909958195717
16,-4540.520162349879,2144.611759704852,5051.453526645728,-5.7821963821032885,-1.839527876239532,-4.33484695377596
17,-4598.049475080943,2126.133326953961,5007.850029496429,-5.731835607496423,-1.8630362952720214,-4.390292725144282
18,-4655.072442696928,2107.4212936345584,4963.694840057465,-5.680855867726493,-1.886334370867247,-4.4452415183242975
19,-4711.5829089745075,2088.477771372996,4918.992954072487,-5.629262964595504,-1.9094196944608044,-4.499687636606404
20,-4767.574775957548,2069.304895713618,4873.749423934461,-5.577062757945538,-1.9322898818472667,-4.55362544098095
21,-4823.042004533768,2049.9048258746793,4827.969358106758,-5.52426116498087,-1.954942573359758,-4.6070493505647905
22,-4877.978615004435,2030.2797445025765,4781.657920540156,-5.470864159588348,-1.9773754340466119,-4.659953843021033
23,-4932.378687647458,2010.4318574242031,4734.820330085536,-5.416877771655968,-1.9995861538453228,-4.712333454972184
24,-4986.236363273488,1990.3633933977274,4687.461859902611,-5.362308086389809,-2.0215724477536248,-4.764182782406681
25,-5039.545843775273,1970.0766038615777,4639.587836864547,-5.307161243629335,-2.0433320559978485,-4.815496481078826
26,-5092.3013926701815,1949.5737626817704,4591.203640958624,-5.251443437161177,-2.0648627441985425,-4.866269266902197
27,-5144.497335635807,1928.8571658976698,4542.31470468302,-5.195160914031423,-2.0861623035332792,-4.916495916336569
28,-5196.128061038659,1907.9291314660527,4492.926512439813,-5.138319973856547,-2.107228550896863,-4.966171266768339
29,-5247.188020456132,1886.791999003625,4443.044599924049,-5.080926968132932,-2.128059329058723,-5.01529021688459
30,-5297.671729191367,1865.4481295279923,4392.674553509285,-5.022988299545161,-2.1486525068177005,-5.0638477270407645
31,-5347.573766781285,1843.8999051970875,4341.822009629409,-4.964510421273078,-2.1690059791541394,-5.111838819621972
32,-5396.888777497714,1822.1497290470975,4290.492654156851,-4.905499836297681,-2.1891176673793167,-5.1592585793980605
33,-5445.611470841543,1800.2000247288827,4238.692221777332,-4.845963096705906,-2.2089855192823054,-5.206102153872405
34,-5493.736622029938,1778.053236242986,4186.4264953611155,-4.785906802994374,-2.2286075092741537,-5.252364753624513
35,-5541.259072476523,1755.7118276732283,4133.701305330931,-4.725337603372167,-2.2479816385294993,-5.298041652646432
36,-5588.173730264709,1733.1782829188455,4080.522529026497,-4.664262193062612,-2.2671059351256315,-5.343128188673087
37,-5634.475570613999,1710.4551054252902,4026.8960900657403,-4.60268731360418,-2.2859784541789647,-5.3876197635065415
38,-5680.159636339218,1687.5448179136704,3972.827957702972,-4.540619752150628,-2.3045972779790027,-5.431511843334133
39,-5725.2210383028705,1664.4499621088914,3918.324146183719,-4.478066340770225,-2.322960516119753,-5.474799959040761
40,-5769.65495586043,1641.1730984664603,3863.390714096565,-4.415033955744332,-2.3410663056286567,-5.517479706515101
41,-5813.4566372985755,1617.7168058980424,3808.033763722,-4.3515295168652335,-2.3589128110930506,-5.559546746949983
42,-5856.621400266524,1594.0836814957713,3752.259440378137,-4.2875599867333065,-2.3764982247841098,-5.600996807136897
43,-5899.144632200201,1570.276340255306,3696.073931763737,-4.223132370053612,-2.3938207667784224,-5.641825679754653
44,-5941.021790739519,1546.297414797711,3639.4834672981447,-4.1582537129318595,-2.410878685077067,-5.6820292236523064
45,-5982.248404138457,1522.14955509018,3582.4943174586488,-4.092931102169927,-2.4276702557222953,-5.721603364126279
46,-6022.8200716682395,1497.8354281655536,3525.11279311493,-4.0271716645607585,-2.444193782911858,-5.760544093191872
47,-6062.732464013428,1473.357717840768,3467.345244860873,-3.960982566182888,-2.4604475991108945,-5.798847469849084
48,-6101.981323660903,1448.719124434117,3409.198062343819,-3.894371011694516,-2.4764300651615487,-5.8365096203428015
49,-6140.5624652818615,1423.922364481553,3350.6776735911444,-3.8273442436272123,-2.4921395703901297,-5.873526738417448
50,-6178.471776106705,1398.970170451829,3291.7905443344052,-3.759909541679217,-2.5075745327120535,-5.909895085566107
51,-6215.705216292912,1373.8652904606283,3232.5431773309397,-3.6920742220084377,-2.522733398734437,-5.9456109912741555
52,-6252.258819285795,1348.6104879837415,3172.9421116831513,-3.6238456365251785,-2.5376146438563802,-5.980670853257429
53,-6288.128692172238,1323.2085415691256,3112.9939221553404,-3.555231172184517,-2.552216772367046,-6.015071137695026
54,-6323.311016027299,1297.6622445481703,3052.705218488354,-3.4862382502785207,-2.5665383175413994,-6.048808379456706
55,-6357.802046253815,1271.9744047458457,2992.0826447118584,-3.41687432572822,-2.5805778417337817,-6.081879182324973
56,-6391.598112914862,1246.14784419007,2931.1328784545417,-3.3471468863753495,-2.5943339364692215,-6.114280219211884
57,-6424.695621059176,1220.1853988201042,2869.86263025208,-3.277063452273998,-2.6078052225325417,-6.146008232370595
58,-6457.091051039509,1194.0899181940301,2808.278642853047,-3.2066315749819956,-2.6209903500553273,-6.177060033601709
59,-6488.78095882384,1167.8642651954951,2746.3876905228344,-3.1358588368523153,-2.633887998600642,-6.207432504454423
60,-6519.761976299571,1141.511315739516,2684.196578345529,-3.06475285032428,-2.646496877245645,-6.237122596422563
61,-6550.030811570609,1115.0339584775083,2621.7121415238576,-2.9933212572146584,-2.6588157246620523,-6.266127331135525
62,-6579.584249247362,1088.4350945015167,2558.9412446773144,-2.9215717280088023,-2.670843309194463,-6.29444380054411
63,-6608.419150729684,1061.7176370476802,2495.8907811383287,-2.849511961151583,-2.6825784289365813,-6.322069167101391
64,-6636.532454482678,1034.8845111989506,2432.567672246798,-2.7771496823384436,-2.6940199118053356,-6.3490006639385195
65,-6663.921176305461,1007.9386535870764,2368.978866642805,-2.7044926438062986,-2.7051666156129235,-6.375235595035624
66,-6690.582409592835,980.8830120938632,2305.131339557641,-2.6315486236244876,-2.7160174281367877,-6.400771335387759
