t_update,grid_index,GP index,lat [deg],log [deg],instrument,reward,n_observations,n_events
30.0,0,874,1.317,-98.818,visual,1.0,1,0
30.0,0,874,1.317,-98.818,visual,1.0166666666666666,0,0
960.0,0,786,28.712,61.118,thermal,1.0,1,0
960.0,0,786,28.712,61.118,thermal,1.5333333333333332,0,0
1010.0,0,785,25.981,61.056,thermal,1.0,1,0
1010.0,0,785,25.981,61.056,thermal,1.5611111111111111,0,0
1220.0,0,896,61.366,-46.884,visual,1.0,1,0
1220.0,0,896,61.366,-46.884,visual,1.6777777777777778,0,0
1320.0,0,120,9.557,69.297,thermal,1.0,1,0
1320.0,0,120,9.557,69.297,thermal,1.7333333333333334,0,0
1400.0,0,504,66.242,-24.959,visual,1.0,1,0
1400.0,0,504,66.242,-24.959,visual,1.7777777777777777,0,0
1410.0,0,506,67.461,-24.553,visual,1.0,1,0
1410.0,0,506,67.461,-24.553,visual,1.7833333333333332,0,0
1420.0,0,508,67.933,-23.721,visual,1.0,1,0
1420.0,0,508,67.933,-23.721,visual,1.7888888888888888,0,0
1470.0,0,246,-65.39738143148965,158.99048754661277,sar,1.0,1,0
1470.0,0,246,-65.39738143148965,158.99048754661277,sar,1.8166666666666667,0,0
2480.0,0,787,26.835,58.76,visual,1.0,1,0
2480.0,0,787,26.835,58.76,visual,2.3777777777777778,0,0
2500.0,0,783,25.964,59.894,visual,1.0,1,0
2500.0,0,783,25.964,59.894,visual,2.388888888888889,0,0
2510.0,0,788,25.366,60.212,visual,1.0,1,0
2510.0,0,788,25.366,60.212,visual,2.3944444444444444,0,0
2840.0,0,124,7.494,66.08,visual,1.0,1,0
2840.0,0,124,7.494,66.08,visual,2.5777777777777775,0,0
2850.0,0,129,6.366,65.317,visual,1.0,1,0
2850.0,0,129,6.366,65.317,visual,2.583333333333333,0,0
2880.0,0,122,5.54,67.263,visual,1.0,1,0
2880.0,0,122,5.54,67.263,visual,2.6,0,0
2900.0,0,502,65.798,-25.657,visual,1.0,1,0
2900.0,0,502,65.798,-25.657,visual,2.611111111111111,0,0
2910.0,0,506,67.461,-24.553,visual,1.0,2,0
2910.0,0,506,67.461,-24.553,visual,1.8333333333333335,1,0
2920.0,0,508,67.933,-23.721,visual,1.0,2,0
2920.0,0,508,67.933,-23.721,visual,1.8333333333333335,1,0
3010.0,0,246,-65.397,158.99,thermal,1.0,1,0
3010.0,0,246,-65.397,158.99,thermal,2.6722222222222225,0,0
3020.0,0,244,-65.203,159.535,thermal,1.0,1,0
3020.0,0,244,-65.203,159.535,thermal,2.677777777777778,0,0
3420.0,0,576,-55.117,-155.745,thermal,1.0,1,0
3420.0,0,576,-55.117,-155.745,thermal,2.9,0,0
3430.0,0,577,-55.471,-154.227,thermal,1.0,1,0
3430.0,0,577,-55.471,-154.227,thermal,2.9055555555555554,0,0
3440.0,0,574,-54.551,-153.799,thermal,1.0,1,0
3440.0,0,574,-54.551,-153.799,thermal,2.9111111111111114,0,0
3460.0,0,578,-53.269,-153.382,thermal,1.0,1,0
3460.0,0,578,-53.269,-153.382,thermal,2.9222222222222225,0,0
3600.0,0,171,-35.135,80.023,visual,1.0,1,0
3600.0,0,171,-35.135,80.023,visual,3.0,0,0
