t_update,grid_index,GP index,lat [deg],log [deg],instrument,reward,n_observations,n_events
130.0,0,311,-64.76779985953901,-171.75014558127566,visual,1.0,1,0
130.0,0,311,-64.76779985953901,-171.75014558127566,visual,1.0722222222222222,0,0
140.0,0,362,-64.28726424676539,-171.27775861641268,visual,1.0,1,0
140.0,0,362,-64.28726424676539,-171.27775861641268,visual,1.0777777777777777,0,0
150.0,0,351,-64.64278938987894,-169.64321287927044,visual,1.0,1,0
150.0,0,351,-64.64278938987894,-169.64321287927044,visual,1.0833333333333333,0,0
150.0,0,386,-64.64491714450044,-169.65167179379824,visual,1.0,1,0
150.0,0,386,-64.64491714450044,-169.65167179379824,visual,1.0833333333333333,0,0
160.0,0,367,-63.84795900146005,-168.92459630781667,visual,1.0,1,0
160.0,0,367,-63.84795900146005,-168.92459630781667,visual,1.0888888888888888,0,0
1920.0,0,4792,26.235093709913208,-96.99908680743316,visual,1.0,1,0
1920.0,0,4792,26.235093709913208,-96.99908680743316,visual,2.0666666666666664,0,0
1930.0,0,4724,26.185255496345867,-96.06156950300756,visual,1.0,1,0
1930.0,0,4724,26.185255496345867,-96.06156950300756,visual,2.072222222222222,0,0
1940.0,0,4785,26.40244873331451,-95.03590210922226,visual,1.0,1,0
1940.0,0,4785,26.40244873331451,-95.03590210922226,visual,2.0777777777777775,0,0
1950.0,0,4771,26.95980404623248,-94.54801124041198,visual,1.0,1,0
1950.0,0,4771,26.95980404623248,-94.54801124041198,visual,2.083333333333333,0,0
1960.0,0,4766,27.401436018410337,-93.67097421443069,visual,1.0,1,0
1960.0,0,4766,27.401436018410337,-93.67097421443069,visual,2.0888888888888886,0,0
1970.0,0,4706,28.50548407304776,-94.21143844706214,visual,1.0,1,0
1970.0,0,4706,28.50548407304776,-94.21143844706214,visual,2.0944444444444446,0,0
1980.0,0,4727,28.79289889234822,-94.34576015014368,visual,1.0,1,0
1980.0,0,4727,28.79289889234822,-94.34576015014368,visual,2.1,0,0
1990.0,0,4795,29.56263216294795,-93.68120765655378,visual,1.0,1,0
1990.0,0,4795,29.56263216294795,-93.68120765655378,visual,2.1055555555555556,0,0
2170.0,0,8790,39.169236652847474,-87.75634167719137,visual,1.0,1,0
2170.0,0,8790,39.169236652847474,-87.75634167719137,visual,2.2055555555555557,0,0
2180.0,0,8749,38.90953659585363,-86.72868548975916,visual,1.0,1,0
2180.0,0,8749,38.90953659585363,-86.72868548975916,visual,2.2111111111111112,0,0
2200.0,0,8783,40.21071769727512,-85.65974639470816,visual,1.0,1,0
2200.0,0,8783,40.21071769727512,-85.65974639470816,visual,2.2222222222222223,0,0
2210.0,0,8787,40.66747970513895,-85.82966656751739,visual,1.0,1,0
2210.0,0,8787,40.66747970513895,-85.82966656751739,visual,2.227777777777778,0,0
2220.0,0,8741,41.118807677400326,-85.34302899277125,visual,1.0,1,0
