GRID COVERAGE
Epoch [JDUT1] is 2458849.5
Step size [s] is 10.0
Mission Duration [Days] is 1.0
time index,GP index,lat [deg],lon [deg]
110,1385,-8.964,13.791
111,1385,-8.964,13.791
112,1385,-8.964,13.791
113,1385,-8.964,13.791
114,1385,-8.964,13.791
115,1385,-8.964,13.791
115,4459,-5.033,12.037
116,1385,-8.964,13.791
116,1511,-3.61,10.894
116,4459,-5.033,12.037
117,1385,-8.964,13.791
117,1511,-3.61,10.894
117,3999,-2.864,10.384
117,4459,-5.033,12.037
118,1385,-8.964,13.791
118,1511,-3.61,10.894
118,3999,-2.864,10.384
118,4459,-5.033,12.037
119,1385,-8.964,13.791
119,1511,-3.61,10.894
119,3999,-2.864,10.384
119,4459,-5.033,12.037
120,1385,-8.964,13.791
120,1511,-3.61,10.894
120,3999,-2.864,10.384
120,4459,-5.033,12.037
121,1385,-8.964,13.791
121,1511,-3.61,10.894
121,3999,-2.864,10.384
121,4459,-5.033,12.037
122,1385,-8.964,13.791
122,1511,-3.61,10.894
122,3999,-2.864,10.384
122,4459,-5.033,12.037
123,1511,-3.61,10.894
123,3999,-2.864,10.384
123,4459,-5.033,12.037
124,1511,-3.61,10.894
124,3999,-2.864,10.384
124,4459,-5.033,12.037
125,236,-0.69,17.819
125,1511,-3.61,10.894
125,3999,-2.864,10.384
125,4459,-5.033,12.037
126,236,-0.69,17.819
126,1511,-3.61,10.894
126,3999,-2.864,10.384
126,4459,-5.033,12.037
127,236,-0.69,17.819
127,1511,-3.61,10.894
127,3999,-2.864,10.384
127,4459,-5.033,12.037
128,236,-0.69,17.819
128,459,-2.509,9.795
128,1511,-3.61,10.894
128,3999,-2.864,10.384
129,459,-2.509,9.795
129,3999,-2.864,10.384
134,4358,4.922,18.001
135,4358,4.922,18.001
136,4358,4.922,18.001
137,4358,4.922,18.001
138,4358,4.922,18.001
139,4358,4.922,18.001
140,4358,4.922,18.001
141,1493,10.827,15.052
141,4358,4.922,18.001
142,1493,10.827,15.052
142,4358,4.922,18.001
143,1445,10.074,19.374
143,1493,10.827,15.052
143,4358,4.922,18.001
144,1445,10.074,19.374
144,1493,10.827,15.052
144,4358,4.922,18.001
145,869,6.307,12.808
145,1445,10.074,19.374
145,1493,10.827,15.052
145,4358,4.922,18.001
146,973,12.844,17.473
146,1445,10.074,19.374
146,1493,10.827,15.052
146,4358,4.922,18.001
147,973,12.844,17.473
147,1445,10.074,19.374
147,1493,10.827,15.052
148,973,12.844,17.473
148,1445,10.074,19.374
148,1493,10.827,15.052
148,4034,9.621,14.103
149,973,12.844,17.473
149,1445,10.074,19.374
149,1493,10.827,15.052
149,4034,9.621,14.103
150,973,12.844,17.473
150,1445,10.074,19.374
150,1493,10.827,15.052
150,4034,9.621,14.103
151,973,12.844,17.473
151,1445,10.074,19.374
151,1493,10.827,15.052
152,973,12.844,17.473
152,1445,10.074,19.374
152,1493,10.827,15.052
153,973,12.844,17.473
153,1445,10.074,19.374
153,1493,10.827,15.052
154,973,12.844,17.473
154,1445,10.074,19.374
155,973,12.844,17.473
156,973,12.844,17.473
157,973,12.844,17.473
178,3376,29.181,30.398
179,759,29.477,30.66
179,3376,29.181,30.398
179,3410,29.23,30.454
180,3376,29.181,30.398
180,3410,29.23,30.454
181,4876,31.061,29.739
181,4927,31.106,29.848
182,4876,31.061,29.739
182,4927,31.106,29.848
183,4876,31.061,29.739
183,4927,31.106,29.848
184,4876,31.061,29.739
184,4927,31.106,29.848
185,4876,31.061,29.739
185,4927,31.106,29.848
186,4876,31.061,29.739
186,4927,31.106,29.848
187,4876,31.061,29.739
187,4927,31.106,29.848
188,4876,31.061,29.739
188,4927,31.106,29.848
189,2610,37.534,27.391
189,3327,36.856,28.633
189,4876,31.061,29.739
189,4927,31.106,29.848
190,2610,37.534,27.391
190,3327,36.856,28.633
190,3839,37.552,29.685
190,4876,31.061,29.739
190,4927,31.106,29.848
191,379,37.844,30.869
191,1111,37.744,30.19
191,1146,37.831,29.848
191,2610,37.534,27.391
191,3140,38.595,28.055
191,3327,36.856,28.633
191,3473,38.214,29.832
191,3839,37.552,29.685
191,4704,38.615,28.316
191,4876,31.061,29.739
191,4927,31.106,29.848
192,268,37.68,31.718
192,379,37.844,30.869
192,1111,37.744,30.19
192,1146,37.831,29.848
192,2610,37.534,27.391
192,3140,38.595,28.055
192,3327,36.856,28.633
192,3473,38.214,29.832
192,3839,37.552,29.685
192,4704,38.615,28.316
192,4876,31.061,29.739
192,4927,31.106,29.848
193,268,37.68,31.718
193,379,37.844,30.869
193,859,38.515,31.419
193,1111,37.744,30.19
193,1146,37.831,29.848
193,1163,40.141,28.045
193,1369,38.62,31.227
193,1467,40.211,28.461
193,2610,37.534,27.391
193,2664,37.2,35.279
193,3140,38.595,28.055
193,3327,36.856,28.633
193,3473,38.214,29.832
193,3839,37.552,29.685
193,4575,37.04,35.34
193,4704,38.615,28.316
193,4876,31.061,29.739
193,4927,31.106,29.848
194,106,38.71,33.427
194,268,37.68,31.718
194,379,37.844,30.869
194,585,40.444,29.34
194,859,38.515,31.419
194,1111,37.744,30.19
194,1146,37.831,29.848
194,1163,40.141,28.045
194,1369,38.62,31.227
194,1467,40.211,28.461
194,2610,37.534,27.391
194,2664,37.2,35.279
194,3140,38.595,28.055
194,3327,36.856,28.633
194,3473,38.214,29.832
194,3736,38.558,33.134
194,3839,37.552,29.685
194,4575,37.04,35.34
194,4704,38.615,28.316
195,106,38.71,33.427
195,268,37.68,31.718
195,379,37.844,30.869
195,585,40.444,29.34
195,859,38.515,31.419
195,963,39.272,33.518
195,1111,37.744,30.19
195,1146,37.831,29.848
195,1163,40.141,28.045
195,1369,38.62,31.227
195,1467,40.211,28.461
195,2610,37.534,27.391
195,2664,37.2,35.279
195,3140,38.595,28.055
195,3327,36.856,28.633
195,3473,38.214,29.832
195,3728,40.731,30.331
195,3736,38.558,33.134
195,3779,40.04,31.413
195,3839,37.552,29.685
195,4443,38.335,35.26
195,4575,37.04,35.34
195,4704,38.615,28.316
195,4797,41.334,28.617
196,106,38.71,33.427
196,268,37.68,31.718
196,379,37.844,30.869
196,585,40.444,29.34
196,859,38.515,31.419
196,963,39.272,33.518
196,1111,37.744,30.19
196,1146,37.831,29.848
196,1163,40.141,28.045
196,1369,38.62,31.227
196,1467,40.211,28.461
196,2610,37.534,27.391
196,2664,37.2,35.279
196,3140,38.595,28.055
196,3327,36.856,28.633
196,3473,38.214,29.832
196,3728,40.731,30.331
196,3736,38.558,33.134
196,3779,40.04,31.413
196,3839,37.552,29.685
196,4443,38.335,35.26
196,4704,38.615,28.316
196,4797,41.334,28.617
197,106,38.71,33.427
197,268,37.68,31.718
197,379,37.844,30.869
197,585,40.444,29.34
197,859,38.515,31.419
197,963,39.272,33.518
197,1111,37.744,30.19
197,1146,37.831,29.848
197,1163,40.141,28.045
197,1369,38.62,31.227
197,1467,40.211,28.461
197,2610,37.534,27.391
197,2664,37.2,35.279
197,3140,38.595,28.055
197,3327,36.856,28.633
197,3473,38.214,29.832
197,3728,40.731,30.331
197,3736,38.558,33.134
197,3779,40.04,31.413
197,3839,37.552,29.685
197,4443,38.335,35.26
197,4704,38.615,28.316
197,4797,41.334,28.617
198,106,38.71,33.427
198,268,37.68,31.718
198,379,37.844,30.869
198,585,40.444,29.34
198,859,38.515,31.419
198,963,39.272,33.518
198,1111,37.744,30.19
198,1146,37.831,29.848
198,1163,40.141,28.045
198,1369,38.62,31.227
198,1467,40.211,28.461
198,2610,37.534,27.391
198,2664,37.2,35.279
198,3140,38.595,28.055
198,3327,36.856,28.633
198,3473,38.214,29.832
198,3728,40.731,30.331
198,3736,38.558,33.134
198,3779,40.04,31.413
198,3839,37.552,29.685
198,4443,38.335,35.26
198,4704,38.615,28.316
198,4797,41.334,28.617
199,106,38.71,33.427
199,268,37.68,31.718
199,379,37.844,30.869
199,585,40.444,29.34
199,859,38.515,31.419
199,963,39.272,33.518
199,1111,37.744,30.19
199,1146,37.831,29.848
199,1163,40.141,28.045
199,1369,38.62,31.227
199,1467,40.211,28.461
199,2610,37.534,27.391
199,2664,37.2,35.279
199,3140,38.595,28.055
199,3327,36.856,28.633
199,3473,38.214,29.832
199,3728,40.731,30.331
199,3736,38.558,33.134
199,3779,40.04,31.413
199,3839,37.552,29.685
199,4443,38.335,35.26
199,4704,38.615,28.316
199,4797,41.334,28.617
200,106,38.71,33.427
200,268,37.68,31.718
200,379,37.844,30.869
200,585,40.444,29.34
200,859,38.515,31.419
200,963,39.272,33.518
200,1111,37.744,30.19
200,1146,37.831,29.848
200,1163,40.141,28.045
200,1369,38.62,31.227
200,1467,40.211,28.461
200,2263,41.361,35.722
200,2610,37.534,27.391
200,3140,38.595,28.055
200,3327,36.856,28.633
200,3473,38.214,29.832
200,3728,40.731,30.331
200,3736,38.558,33.134
200,3779,40.04,31.413
200,3839,37.552,29.685
200,4443,38.335,35.26
200,4704,38.615,28.316
200,4797,41.334,28.617
201,106,38.71,33.427
201,268,37.68,31.718
201,379,37.844,30.869
201,585,40.444,29.34
201,859,38.515,31.419
201,963,39.272,33.518
201,1111,37.744,30.19
201,1146,37.831,29.848
201,1163,40.141,28.045
201,1369,38.62,31.227
201,1467,40.211,28.461
201,2263,41.361,35.722
201,2610,37.534,27.391
201,3140,38.595,28.055
201,3327,36.856,28.633
201,3473,38.214,29.832
201,3728,40.731,30.331
201,3736,38.558,33.134
201,3779,40.04,31.413
201,3839,37.552,29.685
201,4443,38.335,35.26
201,4704,38.615,28.316
201,4797,41.334,28.617
202,106,38.71,33.427
202,268,37.68,31.718
202,379,37.844,30.869
202,585,40.444,29.34
202,859,38.515,31.419
202,963,39.272,33.518
202,1111,37.744,30.19
202,1146,37.831,29.848
202,1163,40.141,28.045
202,1369,38.62,31.227
202,1467,40.211,28.461
202,2263,41.361,35.722
202,3140,38.595,28.055
202,3473,38.214,29.832
202,3728,40.731,30.331
202,3736,38.558,33.134
202,3779,40.04,31.413
202,3839,37.552,29.685
202,4443,38.335,35.26
202,4704,38.615,28.316
202,4797,41.334,28.617
203,106,38.71,33.427
203,268,37.68,31.718
203,379,37.844,30.869
203,585,40.444,29.34
203,859,38.515,31.419
203,963,39.272,33.518
203,1111,37.744,30.19
203,1146,37.831,29.848
203,1163,40.141,28.045
203,1369,38.62,31.227
203,1467,40.211,28.461
203,2263,41.361,35.722
203,3140,38.595,28.055
203,3473,38.214,29.832
203,3728,40.731,30.331
203,3736,38.558,33.134
203,3779,40.04,31.413
203,4443,38.335,35.26
203,4704,38.615,28.316
203,4797,41.334,28.617
204,106,38.71,33.427
204,268,37.68,31.718
204,379,37.844,30.869
204,585,40.444,29.34
204,859,38.515,31.419
204,963,39.272,33.518
204,1163,40.141,28.045
204,1369,38.62,31.227
204,1467,40.211,28.461
204,2240,45.199,33.419
204,2263,41.361,35.722
204,3473,38.214,29.832
204,3567,45.443,33.202
204,3728,40.731,30.331
204,3736,38.558,33.134
204,3779,40.04,31.413
204,4443,38.335,35.26
204,4797,41.334,28.617
205,106,38.71,33.427
205,370,46.015,34.402
205,585,40.444,29.34
205,850,46.116,34.038
205,859,38.515,31.419
205,963,39.272,33.518
205,1163,40.141,28.045
205,1369,38.62,31.227
205,1467,40.211,28.461
205,1604,45.981,34.556
205,2240,45.199,33.419
205,2263,41.361,35.722
205,2745,46.186,34.252
205,3567,45.443,33.202
205,3728,40.731,30.331
205,3736,38.558,33.134
205,3779,40.04,31.413
205,3901,46.188,33.765
205,4443,38.335,35.26
205,4797,41.334,28.617
206,90,46.781,33.373
206,106,38.71,33.427
206,117,46.147,34.805
206,370,46.015,34.402
206,585,40.444,29.34
206,760,45.075,37.007
206,850,46.116,34.038
206,963,39.272,33.518
206,1467,40.211,28.461
206,1604,45.981,34.556
206,2240,45.199,33.419
206,2263,41.361,35.722
206,2295,45.327,37.143
206,2571,44.999,37.24
206,2745,46.186,34.252
206,2945,45.331,37.436
206,3567,45.443,33.202
206,3728,40.731,30.331
206,3736,38.558,33.134
206,3779,40.04,31.413
206,3901,46.188,33.765
206,4351,45.021,38.077
206,4443,38.335,35.26
206,4783,44.988,38.475
206,4797,41.334,28.617
207,90,46.781,33.373
207,106,38.71,33.427
207,117,46.147,34.805
207,370,46.015,34.402
207,585,40.444,29.34
207,660,44.985,39.116
207,760,45.075,37.007
207,803,46.444,35.435
207,850,46.116,34.038
207,963,39.272,33.518
207,1604,45.981,34.556
207,2240,45.199,33.419
207,2263,41.361,35.722
207,2295,45.327,37.143
207,2571,44.999,37.24
207,2745,46.186,34.252
207,2945,45.331,37.436
207,3281,45.159,39.532
207,3567,45.443,33.202
207,3728,40.731,30.331
207,3779,40.04,31.413
207,3901,46.188,33.765
207,4302,45.706,37.748
207,4351,45.021,38.077
207,4443,38.335,35.26
207,4783,44.988,38.475
207,4797,41.334,28.617
208,90,46.781,33.373
208,117,46.147,34.805
208,370,46.015,34.402
208,652,46.259,38.289
208,660,44.985,39.116
208,760,45.075,37.007
208,803,46.444,35.435
208,850,46.116,34.038
208,963,39.272,33.518
208,1308,47.87,35.09
208,1604,45.981,34.556
208,1612,45.914,38.144
208,1725,46.252,38.303
208,2240,45.199,33.419
208,2263,41.361,35.722
208,2295,45.327,37.143
208,2571,44.999,37.24
208,2745,46.186,34.252
208,2945,45.331,37.436
208,3281,45.159,39.532
208,3567,45.443,33.202
208,3728,40.731,30.331
208,3901,46.188,33.765
208,4302,45.706,37.748
208,4351,45.021,38.077
208,4443,38.335,35.26
208,4783,44.988,38.475
209,90,46.781,33.373
209,117,46.147,34.805
209,337,48.556,34.543
209,370,46.015,34.402
209,652,46.259,38.289
209,660,44.985,39.116
209,760,45.075,37.007
209,803,46.444,35.435
209,850,46.116,34.038
209,1308,47.87,35.09
209,1604,45.981,34.556
209,1612,45.914,38.144
209,1725,46.252,38.303
209,2240,45.199,33.419
209,2263,41.361,35.722
209,2295,45.327,37.143
209,2571,44.999,37.24
209,2745,46.186,34.252
209,2945,45.331,37.436
209,3281,45.159,39.532
209,3567,45.443,33.202
209,3901,46.188,33.765
209,4062,45.019,41.7
209,4302,45.706,37.748
209,4351,45.021,38.077
209,4783,44.988,38.475
209,4873,48.485,35.16
210,90,46.781,33.373
210,117,46.147,34.805
210,337,48.556,34.543
210,370,46.015,34.402
210,652,46.259,38.289
210,660,44.985,39.116
210,760,45.075,37.007
210,803,46.444,35.435
210,850,46.116,34.038
210,1308,47.87,35.09
210,1604,45.981,34.556
210,1612,45.914,38.144
210,1725,46.252,38.303
210,2240,45.199,33.419
210,2263,41.361,35.722
210,2295,45.327,37.143
210,2571,44.999,37.24
210,2745,46.186,34.252
210,2945,45.331,37.436
210,3154,47.195,38.522
210,3281,45.159,39.532
210,3567,45.443,33.202
210,3901,46.188,33.765
210,4062,45.019,41.7
210,4302,45.706,37.748
210,4351,45.021,38.077
210,4783,44.988,38.475
210,4873,48.485,35.16
211,90,46.781,33.373
211,117,46.147,34.805
211,225,46.552,41.853
211,337,48.556,34.543
211,370,46.015,34.402
211,652,46.259,38.289
211,660,44.985,39.116
211,760,45.075,37.007
211,803,46.444,35.435
211,850,46.116,34.038
211,873,47.11,40.777
211,1308,47.87,35.09
211,1604,45.981,34.556
211,1612,45.914,38.144
211,1725,46.252,38.303
211,2240,45.199,33.419
211,2263,41.361,35.722
211,2295,45.327,37.143
211,2571,44.999,37.24
211,2745,46.186,34.252
211,2945,45.331,37.436
211,3154,47.195,38.522
211,3281,45.159,39.532
211,3567,45.443,33.202
211,3901,46.188,33.765
211,4062,45.019,41.7
211,4302,45.706,37.748
211,4351,45.021,38.077
211,4552,46.291,42.539
211,4783,44.988,38.475
211,4873,48.485,35.16
212,82,47.61,42.11
212,90,46.781,33.373
212,117,46.147,34.805
212,225,46.552,41.853
