req_id,measurer,measurement,pos,t_start,t_end,t_corr,t_img,u_max,u_exp,u
9d4bbfb6,img_1,visible,"[2466.5311418031147, 2887.5685932047995, 5124.333557393622]",0.0,86400.0,86400.0,20.0,1.0,0.3333333333333333,0.11108539094650206
9d52e426,img_1,visible,"[2985.572322411262, 2952.5368728689937, 4800.9901669737355]",0.0,86400.0,86400.0,30.0,1.0,0.3333333333333333,0.11107253086419752
9d4fb512,sar_0,sar,"[3646.401516137588, 3394.1326504988942, 3982.994124437613]",0.0,86400.0,86400.0,60.0,1.0,0.3333333333333333,0.11103395061728395
9d4ef870,img_1,visible,"[2630.7918613465945, 3624.224616148142, 4541.426293066536]",0.0,86400.0,86400.0,80.0,1.0,0.3333333333333333,0.1110082304526749
9d469414,img_1,visible,"[2278.158738686018, 3900.88034761457, 4502.637886430648]",0.0,86400.0,86400.0,130.0,1.0,0.3333333333333333,0.11094393004115227
9d555a62,sar_0,sar,"[3189.920123731725, 2883.3712928389405, 4710.753894359306]",0.0,86400.0,86400.0,130.0,1.0,0.3333333333333333,0.11094393004115227
9d47264a,img_1,visible,"[2900.265884658504, 3836.635861214348, 4189.189149239713]",0.0,86400.0,86400.0,140.0,1.0,0.3333333333333333,0.11093106995884773
9d4ecbde,img_1,visible,"[2554.4976095174534, 4002.367622905655, 4258.663879136723]",0.0,86400.0,86400.0,160.0,1.0,0.3333333333333333,0.11090534979423868
9d52e426,sar_0,sar,"[2985.572322411262, 2952.5368728689937, 4800.9901669737355]",0.0,86400.0,86400.0,160.0,1.0,0.3333333333333333,0.11090534979423868
9d4bbfb6,sar_0,sar,"[2466.5311418031147, 2887.5685932047995, 5124.333557393622]",0.0,86400.0,86400.0,250.0,1.0,0.3333333333333333,0.11078960905349794
9d4f8952,thm_0,thermal,"[-527.0624668467873, -2789.5682143175945, 5711.491661123915]",0.0,86400.0,86400.0,310.0,1.0,0.3333333333333333,0.11071244855967079
9d522ed2,thm_0,thermal,"[818.7321547956418, -3678.3130987807463, 5145.902551294512]",0.0,86400.0,86400.0,570.0,1.0,0.3333333333333333,0.11037808641975308
9d53c24c,thm_0,thermal,"[915.182958438889, -3660.6480566836904, 5142.248401143089]",0.0,86400.0,86400.0,580.0,1.0,0.3333333333333333,0.11036522633744855
9d56661e,thm_0,thermal,"[1114.3333362144322, -3833.713792656991, 4974.085085035283]",0.0,86400.0,86400.0,630.0,1.0,0.3333333333333333,0.11030092592592591
9d5637fc,sar_0,sar,"[92.8222404535489, 2374.588584819626, 5918.896497312586]",0.0,86400.0,86400.0,630.0,1.0,0.3333333333333333,0.11030092592592591
9d583a0c,thm_0,thermal,"[1467.2017196260167, -3768.642845538931, 4932.065782009844]",0.0,86400.0,86400.0,670.0,1.0,0.3333333333333333,0.11024948559670783
9d4579e4,img_0,visible,"[615.1169652280626, -4623.984611421844, 4349.829892513073]",0.0,86400.0,86400.0,700.0,1.0,0.3333333333333333,0.11021090534979423
9d4666a6,img_0,visible,"[898.8023036626363, -4584.657516159214, 4342.08389368898]",0.0,86400.0,86400.0,720.0,1.0,0.3333333333333333,0.11018518518518518
9d46c100,img_0,visible,"[1116.7695837167582, -4411.567404308492, 4468.950815964037]",0.0,86400.0,86400.0,760.0,1.0,0.3333333333333333,0.11013374485596707
9d56661e,img_0,visible,"[1114.3333362144322, -3833.713792656991, 4974.085085035283]",0.0,86400.0,86400.0,860.0,1.0,0.3333333333333333,0.1100051440329218
9d53c24c,img_0,visible,"[915.182958438889, -3660.6480566836904, 5142.248401143089]",0.0,86400.0,86400.0,880.0,1.0,0.3333333333333333,0.10997942386831275
9d583a0c,img_0,visible,"[1467.2017196260167, -3768.642845538931, 4932.065782009844]",0.0,86400.0,86400.0,890.0,1.0,0.3333333333333333,0.10996656378600823
9d560c0a,sar_0,sar,"[-1105.7326004745603, 2672.4975525235704, 5684.693035633585]",0.0,86400.0,86400.0,930.0,1.0,0.3333333333333333,0.10991512345679012
9d4fe1ea,img_0,visible,"[1269.1043438792206, -3445.6511992852834, 5215.120769319583]",0.0,86400.0,86400.0,940.0,1.0,0.3333333333333333,0.10990226337448558
9d4a8f7e,img_0,visible,"[1641.7518519186995, -3405.449098698736, 5136.943639390175]",0.0,86400.0,86400.0,960.0,1.0,0.3333333333333333,0.10987654320987655
9d544c12,thm_0,thermal,"[4120.5546538434155, -4849.729988828745, -426.3461522310145]",0.0,86400.0,86400.0,1630.0,1.0,0.3333333333333333,0.10901491769547324
9d4dbc12,img_0,visible,"[2690.7876989499314, 1478.1265722988296, 5590.655243960366]",0.0,86400.0,86400.0,1730.0,1.0,0.3333333333333333,0.10888631687242797
9d503e06,img_0,visible,"[2908.9148357225654, 1529.2317675417105, 5466.286430569853]",0.0,86400.0,86400.0,1750.0,1.0,0.3333333333333333,0.10886059670781892
9d475e9e,img_0,visible,"[2736.5225342760405, 1646.4048317042023, 5520.997936145076]",0.0,86400.0,86400.0,1760.0,1.0,0.3333333333333333,0.1088477366255144
