GRID COVERAGE
Epoch [JDUT1] is 2458849.5
Step size [s] is 10.0
Mission Duration [Days] is 0.125
time index,GP index,lat [deg],lon [deg]
31,596,60.233,-151.159
76,1668,40.72,-122.422
504,3049,32.684,73.511
507,4077,34.29,74.516
518,3563,39.78,79.023
518,4616,39.83,79.009
529,1389,46.46,81.339
531,668,45.81,85.969
534,201,47.277,87.285
540,816,51.788,87.253
544,628,52.826,91.367
574,4753,63.588,119.007
596,2589,68.299,149.797
596,4110,68.357,149.994
597,1307,68.414,151.616
597,3560,68.337,151.517
616,4319,63.334,176.648
1039,4113,-0.365,36.094
1058,1849,10.233,40.542
