t,x_pos,y_pos,z_pos,x_vel,y_vel,z_vel,attitude,status
0.0,-7148.78,0.0,0.0,-0.0,-2.903,-6.839,0.0,SENSING
0.0,-7148.78,0.0,0.0,-0.0,-2.903,-6.839,0.0,LISTENING
100.0,-7109.872,-289.236,-682.312,0.778,-2.887,-6.802,0.0,SENSING
100.0,-7109.872,-289.236,-682.312,0.778,-2.887,-6.802,0.0,LISTENING
200.0,-6993.56,-575.33,-1357.192,1.548,-2.84,-6.69,0.0,SENSING
200.0,-6993.56,-575.33,-1357.192,1.548,-2.84,-6.69,0.0,LISTENING
300.0,-6801.071,-855.171,-2017.283,2.301,-2.762,-6.506,0.0,SENSING
300.0,-6801.071,-855.171,-2017.283,2.301,-2.762,-6.506,0.0,LISTENING
400.0,-6534.445,-1125.711,-2655.373,3.03,-2.654,-6.251,0.0,SENSING
400.0,-6534.445,-1125.711,-2655.373,3.03,-2.654,-6.251,0.0,LISTENING
500.0,-6196.507,-1383.993,-3264.471,3.727,-2.517,-5.926,0.0,SENSING
500.0,-6196.507,-1383.993,-3264.471,3.727,-2.517,-5.926,0.0,LISTENING
600.0,-5790.849,-1627.183,-3837.876,4.384,-2.352,-5.537,0.0,SENSING
600.0,-5790.849,-1627.183,-3837.876,4.384,-2.352,-5.537,0.0,LISTENING
700.0,-5321.798,-1852.6,-4369.248,4.995,-2.161,-5.086,0.0,SENSING
700.0,-5321.798,-1852.6,-4369.248,4.995,-2.161,-5.086,0.0,LISTENING
800.0,-4794.374,-2057.742,-4852.673,5.552,-1.946,-4.578,0.0,SENSING
800.0,-4794.374,-2057.742,-4852.673,5.552,-1.946,-4.578,0.0,LISTENING
900.0,-4214.247,-2240.312,-5282.726,6.049,-1.709,-4.019,0.0,SENSING
900.0,-4214.247,-2240.312,-5282.726,6.049,-1.709,-4.019,0.0,LISTENING
1000.0,-3587.679,-2398.249,-5654.538,6.48,-1.453,-3.414,0.0,SENSING
1000.0,-3587.679,-2398.249,-5654.538,6.48,-1.453,-3.414,0.0,LISTENING
1100.0,-2921.473,-2529.746,-5963.844,6.841,-1.18,-2.769,0.0,SENSING
1100.0,-2921.473,-2529.746,-5963.844,6.841,-1.18,-2.769,0.0,LISTENING
1200.0,-2222.899,-2633.275,-6207.04,7.127,-0.893,-2.092,0.0,SENSING
1200.0,-2222.899,-2633.275,-6207.04,7.127,-0.893,-2.092,0.0,LISTENING
1300.0,-1499.625,-2707.606,-6381.228,7.335,-0.595,-1.39,0.0,SENSING
1300.0,-1499.625,-2707.606,-6381.228,7.335,-0.595,-1.39,0.0,LISTENING
1400.0,-759.639,-2751.822,-6484.253,7.462,-0.29,-0.67,0.0,SENSING
1400.0,-759.639,-2751.822,-6484.253,7.462,-0.29,-0.67,0.0,LISTENING
1500.0,-11.162,-2765.336,-6514.742,7.505,0.019,0.06,0.0,SENSING
1500.0,-11.162,-2765.336,-6514.742,7.505,0.019,0.06,0.0,LISTENING
1600.0,737.436,-2747.899,-6472.123,7.464,0.33,0.792,0.0,SENSING
1600.0,737.436,-2747.899,-6472.123,7.464,0.33,0.792,0.0,LISTENING
1700.0,1477.732,-2699.609,-6356.643,7.339,0.637,1.517,0.0,SENSING
1700.0,1477.732,-2699.609,-6356.643,7.339,0.637,1.517,0.0,LISTENING
1800.0,2201.343,-2620.912,-6169.378,7.13,0.938,2.227,0.0,SENSING
1800.0,2201.343,-2620.912,-6169.378,7.13,0.938,2.227,0.0,LISTENING
1900.0,2900.023,-2512.604,-5912.229,6.84,1.23,2.914,0.0,SENSING
1900.0,2900.023,-2512.604,-5912.229,6.84,1.23,2.914,0.0,LISTENING
2000.0,3565.766,-2375.825,-5587.91,6.471,1.508,3.57,0.0,SENSING
2000.0,3565.766,-2375.825,-5587.91,6.471,1.508,3.57,0.0,LISTENING
2100.0,4190.894,-2212.048,-5199.926,6.028,1.77,4.187,0.0,SENSING
2100.0,4190.894,-2212.048,-5199.926,6.028,1.77,4.187,0.0,LISTENING
2200.0,4768.162,-2023.067,-4752.541,5.514,2.013,4.757,0.0,SENSING
2200.0,4768.162,-2023.067,-4752.541,5.514,2.013,4.757,0.0,LISTENING
2300.0,5290.845,-1810.979,-4250.731,4.936,2.233,5.275,0.0,SENSING
2300.0,5290.845,-1810.979,-4250.731,4.936,2.233,5.275,0.0,LISTENING
2400.0,5752.824,-1578.159,-3700.135,4.301,2.428,5.732,0.0,SENSING
2400.0,5752.824,-1578.159,-3700.135,4.301,2.428,5.732,0.0,LISTENING
2500.0,6148.669,-1327.239,-3106.989,3.614,2.595,6.125,0.0,SENSING
2500.0,6148.669,-1327.239,-3106.989,3.614,2.595,6.125,0.0,LISTENING
2600.0,6473.712,-1061.069,-2478.053,2.885,2.733,6.448,0.0,SENSING
2600.0,6473.712,-1061.069,-2478.053,2.885,2.733,6.448,0.0,LISTENING
2700.0,6724.105,-782.691,-1820.533,2.122,2.839,6.697,0.0,SENSING
2700.0,6724.105,-782.691,-1820.533,2.122,2.839,6.697,0.0,LISTENING
