lat [deg],lon [deg],start time [s],duration [s],severity,measurements
0.43099900000004254,33.19379100000003,0,86400,1,['visible']
0.43099900000004254,33.19379100000003,0,86400,1,['sar']
0.43099900000004254,33.19379100000003,0,86400,1,['thermal']
42.99940300000003,-82.42257599999994,0,86400,1,['visible']
42.99940300000003,-82.42257599999994,0,86400,1,['sar']
42.99940300000003,-82.42257599999994,0,86400,1,['thermal']
45.82291600000008,-84.75390999999996,0,86400,1,['visible']
45.82291600000008,-84.75390999999996,0,86400,1,['sar']
45.82291600000008,-84.75390999999996,0,86400,1,['thermal']
-5.911179999999945,29.18541700000003,0,86400,1,['visible']
-5.911179999999945,29.18541700000003,0,86400,1,['sar']
-5.911179999999945,29.18541700000003,0,86400,1,['thermal']
52.23439300000007,104.32187500000003,0,86400,1,['visible']
52.23439300000007,104.32187500000003,0,86400,1,['sar']
52.23439300000007,104.32187500000003,0,86400,1,['thermal']
-14.417701999999963,35.23645800000003,0,86400,1,['visible']
-14.417701999999963,35.23645800000003,0,86400,1,['sar']
-14.417701999999963,35.23645800000003,0,86400,1,['thermal']
42.90433400000006,-78.90808399999997,0,86400,1,['visible']
42.90433400000006,-78.90808399999997,0,86400,1,['sar']
42.90433400000006,-78.90808399999997,0,86400,1,['thermal']
44.90625000000006,59.71458300000006,0,86400,1,['visible']
44.90625000000006,59.71458300000006,0,86400,1,['sar']
44.90625000000006,59.71458300000006,0,86400,1,['thermal']
44.48055700000003,-75.79424599999999,0,86400,1,['visible']
44.48055700000003,-75.79424599999999,0,86400,1,['sar']
44.48055700000003,-75.79424599999999,0,86400,1,['thermal']
13.077083000000073,14.527083000000061,0,86400,1,['visible']
13.077083000000073,14.527083000000061,0,86400,1,['sar']
13.077083000000073,14.527083000000061,0,86400,1,['thermal']
41.056625000000054,52.91291300000006,0,86400,1,['visible']
41.056625000000054,52.91291300000006,0,86400,1,['sar']
41.056625000000054,52.91291300000006,0,86400,1,['thermal']
59.952780000000075,31.03285100000005,0,86400,1,['visible']
59.952780000000075,31.03285100000005,0,86400,1,['sar']
59.952780000000075,31.03285100000005,0,86400,1,['thermal']
46.385417000000075,74.60208300000005,0,86400,1,['visible']
46.385417000000075,74.60208300000005,0,86400,1,['sar']
46.385417000000075,74.60208300000005,0,86400,1,['thermal']
60.91987300000005,34.16145800000004,0,86400,1,['visible']
60.91987300000005,34.16145800000004,0,86400,1,['sar']
60.91987300000005,34.16145800000004,0,86400,1,['thermal']
-28.427082999999982,137.20625000000007,0,86400,1,['visible']
-28.427082999999982,137.20625000000007,0,86400,1,['sar']
-28.427082999999982,137.20625000000007,0,86400,1,['thermal']
-16.558622999999955,-69.02902099999994,0,86400,1,['visible']
-16.558622999999955,-69.02902099999994,0,86400,1,['sar']
-16.558622999999955,-69.02902099999994,0,86400,1,['thermal']
11.122437000000048,-84.78190299999994,0,86400,1,['visible']
11.122437000000048,-84.78190299999994,0,86400,1,['sar']
11.122437000000048,-84.78190299999994,0,86400,1,['thermal']
58.70450800000003,-111.20051199999995,0,86400,1,['visible']
58.70450800000003,-111.20051199999995,0,86400,1,['sar']
58.70450800000003,-111.20051199999995,0,86400,1,['thermal']
3.3729170000000295,36.14375000000007,0,86400,1,['visible']
3.3729170000000295,36.14375000000007,0,86400,1,['sar']
3.3729170000000295,36.14375000000007,0,86400,1,['thermal']
41.41041700000005,-112.83124999999995,0,86400,1,['visible']
41.41041700000005,-112.83124999999995,0,86400,1,['sar']
41.41041700000005,-112.83124999999995,0,86400,1,['thermal']
42.48541700000004,77.42708300000004,0,86400,1,['visible']
42.48541700000004,77.42708300000004,0,86400,1,['sar']
42.48541700000004,77.42708300000004,0,86400,1,['thermal']
-30.843749999999943,-62.25208299999997,0,86400,1,['visible']
-30.843749999999943,-62.25208299999997,0,86400,1,['sar']
-30.843749999999943,-62.25208299999997,0,86400,1,['thermal']
6.3026270000000295,0.06034700000003568,0,86400,1,['visible']
6.3026270000000295,0.06034700000003568,0,86400,1,['sar']
6.3026270000000295,0.06034700000003568,0,86400,1,['thermal']
-7.914582999999936,32.20208300000007,0,86400,1,['visible']
-7.914582999999936,32.20208300000007,0,86400,1,['sar']
-7.914582999999936,32.20208300000007,0,86400,1,['thermal']
53.64879200000007,-64.26149099999998,0,86400,1,['visible']
53.64879200000007,-64.26149099999998,0,86400,1,['sar']
53.64879200000007,-64.26149099999998,0,86400,1,['thermal']
2.761442000000045,31.410473000000025,0,86400,1,['visible']
2.761442000000045,31.410473000000025,0,86400,1,['sar']
2.761442000000045,31.410473000000025,0,86400,1,['thermal']
58.36897900000008,12.368581000000063,0,86400,1,['visible']
58.36897900000008,12.368581000000063,0,86400,1,['sar']
58.36897900000008,12.368581000000063,0,86400,1,['thermal']
56.23418500000008,-103.14960599999995,0,86400,1,['visible']
56.23418500000008,-103.14960599999995,0,86400,1,['sar']
56.23418500000008,-103.14960599999995,0,86400,1,['thermal']
23.967280000000073,32.88645800000006,0,86400,1,['visible']
23.967280000000073,32.88645800000006,0,86400,1,['sar']
23.967280000000073,32.88645800000006,0,86400,1,['thermal']
-16.52291699999995,28.760417000000075,0,86400,1,['visible']
